seq,name,birthday,gender,email,street,city,state,zip
1,Steve Payne,11/30/1998,Female,goci@uvizo.tz,Adla Grove,Majzuskav,UT,49234
2,Mamie Daniels,6/8/2004,Male,gem@ef.bm,Bomgik Mill,Luspedroz,MO,82461
3,Marie Atkins,10/21/1987,Male,uzunup@ce.st,Owoda Pass,Vissaici,KY,85514
4,Willie Cole,1/25/1992,Male,azipanod@baufaike.fi,Rojej Trail,Lukbavaw,VT,32812
5,Mason Willis,6/30/1962,Male,um@ecoz.gi,Cuka Street,Ideidnah,IN,94380
6,Shawn Morgan,10/31/1972,Male,apaujaub@dive.ba,Hiwga Circle,Akovicu,VA,70922
7,Hester Cummings,5/9/1980,Male,cibpip@rej.st,Orauw Junction,Baozmur,ID,12778
8,Randall Boyd,9/15/1975,Female,sakhucus@husbumzed.zm,Focu Ridge,Unmuwe,RI,50079
9,Landon Snyder,6/2/1995,Male,ohoaduib@uce.bv,Ufbun Road,Hecdighol,PA,14609
10,Chase Flowers,5/11/1959,Female,fusicoz@muguk.gn,Huke Drive,Regrissa,DE,29460
11,Sara Murray,12/28/1982,Female,velip@kot.th,Rojog Manor,Pusazduv,GA,48011
12,Pauline Huff,4/5/1959,Female,umumos@notus.cw,Rodzek Manor,Luzmiwdif,TN,08930
13,William Herrera,9/8/1989,Male,ganzokoj@lub.mh,Uveabo Place,Warala,SC,74637
14,Lois Gonzalez,6/22/1987,Male,pepsaazo@kawseg.in,Neja Ridge,Vugfobe,DC,81720
15,Mario Figueroa,11/6/1964,Male,hip@revum.pe,Meppuv Ridge,Tivosud,VA,94065
16,Philip Garza,7/10/1977,Female,voatohag@vo.mu,Sagse Loop,Itkodo,AR,29181
17,Chris Farmer,6/3/1984,Female,gi@pu.gs,Kesa Square,Ovocado,MN,46604
18,Lillian Andrews,2/19/1992,Male,pi@sogacsa.ht,Vomu Street,Pizamoj,NE,02241
19,Ollie Wood,12/26/1984,Female,hiatik@va.gm,Zivfaw Avenue,Imgabapa,AR,01890
20,Lawrence Bishop,4/14/1964,Male,pimcew@peehaib.zm,Cikig Park,Hehefol,RI,36935
21,Lina Moody,11/11/1981,Male,cimijdu@kugpuwow.sm,Juvca Drive,Nakiulo,AR,21886
22,Luke Cross,4/25/1996,Female,naosco@vigow.iq,Lutjop Plaza,Pojazaitu,UT,91996
23,Keith Mann,4/22/1967,Female,kiz@lanha.bj,Saene Avenue,Ibniefa,MS,15694
